player_name,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
Kai Lohmann,8,923,9,241,9,167,2,163,1,47
Callum M. Brown,25,40,13,42,15,27,12,26,11,7
Isaac Keeler,260,9,319,8,104,19,54,77,2,66
Billy Dowling,0,9,1,9,0,8,0,11,1,1
Hugh Jackson,3,42,1,52,1,47,0,31,2,14
Harvey Harrison,0,7,2,0,0,3,0,3,0,1
Max Michalanney,12,50,33,8,16,25,16,90,2,47
Will Verrall,2,15,2,7,2,8,1,14,0,6
Nasiah Wanganeen-Milera,944,21,4657,23,1014,13,752,42,925,11
Ryan Angwin,1,10,0,11,0,13,0,11,0,3
Charlie Comben,6,56,80,2,26,2,2,19,2,24
Sam Durham,10,45,4,61,2,98,22,15,52,3
Nik Cox,0,47,0,27,0,24,1,22,0,12
