player_id,round_2_in,round_2_out,round_3_in,round_3_out,round_4_in,round_4_out,round_5_in,round_5_out,round_6_in,round_6_out
1006144,86,30,260,5,311,7,62,62,31,46
1006148,60,177,10,282,29,78,21,208,33,49
1006152,31,127,101,140,66,103,156,80,46,100
1006203,0,11,0,3,0,7,1,1,0,1
1006232,106,818,25,1085,12,460,18,312,30,464
1006314,119,62,53,1159,9,2248,50,339,111,139
1006533,0,50,0,29,0,8,0,6,0,5
1006550,2,6,2,10,1,13,0,7,0,2
1007099,4,24,1,22,17,15,14,37,1,18
1007102,21,47,40,79,28,33,55,24,27,11
1007124,57,2,27,10,12,46,54,10,2,45
1007591,2,7,0,4,2,4,0,5,0,1
1007881,1,109,8,7,3,46,10,18,9,11
1008083,1,159,8,20,32,11,60,10,7,19
1008089,150,172,17,702,47,65,13,327,22,97
1008091,32,123,11,221,11,52,21,32,3,241
1008123,0,5,0,3,0,3,26,2,2,4
1008139,26,446,50,73,360,18,272,65,22,242
1008154,33,48,93,21,26,222,61,63,43,18
1008183,436,177,1625,34,81,75,79,251,10,861
1008198,207,35,21,198,73,32,30,95,5,73
1008224,1803,249,824,456,10794,52,33200,12,3582,12
1008230,276,12,68,105,6,319,3,128,2,42
1008239,15,28,173,3,25,25,8,17,29,13
1008280,65,2,79,7,55,22,48,47,28,36
1008312,20,15,1,40,5,15,7,1,5,3
1008384,133,15,235,8,432,3,818,3,82,35
1008436,1,94,49,42,374,12,1678,14,1744,16
1008454,0,13,1,0,2,2,1,10,3,6
1008478,4,23,22,3,0,105,0,48,0,6
1008510,1,21,0,12,1,8,21,0,372,0
1008541,11,80,8,85,27,35,293,5,339,6
1008543,2,0,1,3,0,2,0,3,0,1
1008550,358,1421,113,21713,50,14968,24,17867,3,2162
1008691,1,84,8,43,4,68,3,56,1,18
1008747,0,21,0,12,1,8,0,7,0,2
1008752,3,47,0,35,0,11,0,10,0,10
1008805,10,33,3,32,6,27,2,31,5,4
1008855,2,12,3,10,6,8,19,13,9,4
1008882,0,110,1,43,0,41,0,22,0,5
1008893,40,0,1,16,2,13,0,12,5,6
1009015,2,8,3,4,2,3,5,4,12,2
1009029,3,5,21,10,22,2,3,14,2,5
1009191,53,154,149,54,437,18,1382,14,25,553
1009195,4,4,2,1,1,4,1,6,0,2
1009197,0,5,2,4,0,6,0,2,0,1
1009199,28,473,534,11,692,5,580,23,109,46
1009208,34,200,330,6,3095,4,450,72,195,48
1009226,125,6,21,28,8,21,37,19,14,15
1009229,30446,5,3393,225,678,5762,402,6075,350,16752
1009241,7,80,1,85,112,1,10,43,4,76
1009253,11,4847,289,111,722,14,463,28,1602,3
1009256,0,109,0,50,3,33,105,12,63,3
1009260,6,604,106,290,80,40,158,31,11,77
1009301,0,48,4,53,0,37,1,23,0,15
1009317,3,17,4,5,16,7,22,4,1,8
1009378,69,118,22,455,51,88,14,854,16,112
1009380,5,47,7,51,8,58,12,27,7,14
1009385,15,52,16,69,12,72,7,51,5,22
1009386,1254,522,582,326,59,1654,177,854,30,3449
1009392,3,1,17,8,0,11,5,15,7,9
1009399,575,98,1641,51,1457,50,81,5573,3,1324
1009410,13,17,2,132,2,100,0,46,0,12
1009420,44,369,126,662,113,159,2680,27,237,82
1009421,103,55,37,114,36,187,72,45,8,97
1009528,20,167,491,19,528,25,1880,18,340,9
1009551,1,57,0,36,2,18,5,11,2,9
1009708,1,71,6,5,16,7,10,27,4,14
1010174,9,59,49,7,29,9,71,12,26,8
1010708,0,6,0,7,0,2,0,5,1,1
1011243,0,17,1,11,0,15,0,9,0,3
1011437,22,96,29,55,12,66,5,48,6,17
1011558,2,3,194,3,438,7,675,9,95,24
1011583,52,142,25,167,17,151,36,24,21,15
1011589,1,15,0,19,0,15,0,15,0,6
1011640,192,577,83,4782,59,9348,1011,191,417,114
1011659,1000,3,3282,4,68,127,164,91,18,754
1011755,65,7,10,65,0,150,3,35,5,26
1011803,1,41,0,30,0,19,1,11,0,8
1011839,2,22,1,20,3,14,6,14,11,1
1011936,0,40,0,31,1,14,0,22,0,9
1011950,3,55,2,35,3,36,7,20,19,6
1011954,253,34,174,56,32,330,153,57,8,451
1011981,304,0,447,3,55,23,30,105,7,136
1011985,0,69,0,31,1,22,9,4,15,3
1011994,1,4,0,4,5,2,9,3,24,0
1012014,48,316,39,461,144,33,55,325,158,116
1012127,0,3,2,5,0,2,0,3,1,3
1012144,4,7,2,5,1,11,1,6,0,1
1012210,292,289,71,2657,839,59,88,887,84,1378
1012218,1,5,0,3,1,4,0,7,1,1
1012386,5,118,4,84,3,90,6,73,2,26
1012805,0,49,1,27,0,10,0,12,0,2
1012807,0,25,3,26,2,14,2,12,0,10
1012817,1833,72,558,374,200,1387,420,576,641,128
1012819,11,239,31,21,21,39,100,10,106,4
1012825,120,7,2244,3,2212,7,210,129,242,34
1012826,3,33,7,38,4,24,2,24,1,5
1012828,3,20,2,15,2,28,1,22,0,5
1012829,5,43,4,25,1,35,0,25,1,8
1012833,0,2,0,5,0,2,0,3,0,0
1012857,59,42,21,149,3,341,30,72,3,88
1012860,75,39,17,56,12,70,28,68,8,61
1012862,2,41,0,19,1,11,1,5,0,2
1012873,2,23,0,24,0,12,0,16,1,6
1012881,3,33,1,25,10,20,169,4,13,7
1013128,1,159,2,57,1,51,0,41,0,20
1013133,45,15,13,113,54,17,54,32,21,16
1013165,0,16,0,9,0,3,0,6,0,0
1013197,15,61,4,174,7,102,24,12,2,10
1013201,9,13,14,8,2,7,7,2,139,0
1013220,903,91,2845,92,3060,23,126,28951,8,4630
1013224,2,79,9,14,6,14,11,13,50,2
1013229,51,167,108,38,607,4,38,195,14,80
1013230,0,8,2,1,1,4,1,4,0,3
1013233,4,43,3,27,3,29,1,44,0,11
1013257,0,109,6,18,33,2,4,38,5,10
1013268,0,15,0,6,0,19,0,9,0,1
1013278,82,64,2,811,2,299,1,208,10,70
1013315,7,15,3,11,946,0,1893,11,190,23
1013409,100,74,17,234,27,46,26,45,11,124
1013462,4,87,111,3,668,1,52,97,84,38
1013464,570,17,988,6,155,34,963,7,56,162
1013511,9,19,20,12,8,9,4,36,2,14
1013532,1,6,2,6,1,1,1,0,2,2
1013611,0,8,0,5,0,3,0,5,0,1
1013973,13,23,20,18,3,37,4,48,5,31
1013974,36,5,1,35,5,41,13,31,9,4
1013996,1,17,4,5,9,10,5,14,6,1
1014013,10,160,9,105,16,101,26,106,35,29
1014026,8,923,9,241,9,167,2,163,1,47
1014038,25,40,13,42,15,27,12,26,11,7
1015323,260,9,319,8,104,19,54,77,2,66
1015329,0,9,1,9,0,8,0,11,1,1
1015330,3,42,1,52,1,47,0,31,2,14
1015332,0,7,2,0,0,3,0,3,0,1
1015370,12,50,33,8,16,25,16,90,2,47
1015473,2,15,2,7,2,8,1,14,0,6
1015507,944,21,4657,23,1014,13,752,42,925,11
1015777,1,10,0,11,0,13,0,11,0,3
1015781,6,56,80,2,26,2,2,19,2,24
1015810,10,45,4,61,2,98,22,15,52,3
1015827,0,47,0,27,0,24,1,22,0,12
1015862,44,3667,127,712,238,232,50,1583,109,1757
1015873,23,14,2,112,2,64,12,61,8,4
1015886,23,188,101,132,27,154,27,150,53,36
1015889,1024,23,244,253,1913,25,248,512,1818,10
1015919,100,923,1978,272,531,409,3098,139,13148,17
1015929,13,960,2,450,1,278,23,116,44,14
1016140,1,0,3,1,1,2,2,3,1,1
1016189,0,5,1,6,1,5,1,6,0,3
1016268,0,72,0,47,0,28,0,25,0,8
1016433,20,10,6,27,1,25,5,24,1,14
1016825,28,1,26,14,29,8,10,26,11,6
1017043,0,22,0,5,0,5,1,6,0,1
1017051,199,4,390,13,4,678,2,295,2,70
1017057,1,38,0,32,0,22,0,20,0,10
1017059,8,332,6,178,0,125,7,96,21,29
1017063,1,60,1,29,2,24,0,9,0,9
1017065,4,34,6,25,1,26,92,16,7,8
1017067,74,3,236,5,40,17,21,25,11,63
1017077,3,13,1,10,1,10,0,7,0,3
1017078,71,100,1196,8,523,22,48,371,9,361
1017086,31,24,56,12,42,6,8,62,19,3
1017087,5,1,9,3,2,25,0,45,1,10
1017088,23,746,9,1001,3,658,11,137,38,32
1017091,4,31,4,14,2,20,1,14,1,7
1017094,32,21,2,306,1,118,3,131,1,42
1017095,11,12,1,27,4,9,2,13,0,3
1017109,1165,2,2675,8,2416,10,1603,36,42,887
1017110,86,1,764,1,19,188,963,33,24,264
1017114,1,39,0,12,2,8,5,12,11,1
1017118,0,9,1,5,0,3,0,2,0,1
1017122,7,29,10,12,4,25,1,23,0,3
1017124,107,8,28,61,77,29,98,37,2456,3
1017126,26,97,305,2,354,11,1180,2,193,7
1017128,3,33,3,23,0,24,4,13,1,15
1017255,3,79,5,18,0,14,0,15,0,6
1017396,8,201,44,136,29,55,23,65,14,63
1017665,1,107,5,15,11,14,4,14,0,37
1017700,36,92,109,8,29,27,19,39,11,29
1017703,0,37,0,10,0,7,0,6,4,6
1017718,1,57,4,38,3,27,7,25,30,2
1017720,4,34,5,22,1,33,5,22,2,14
1017751,4,14,5,19,4,12,8,9,1,11
1017754,5,14,52,6,42,5,26,7,5,25
1017757,0,2,1,4,1,2,1,4,4,1
1017933,0,38,1,34,1,12,2,13,1,5
1017939,158,2721,122,4538,145,5869,407,617,138,1538
1017959,106,2,222,3,259,7,224,8,16,36
1018016,3,18,3,11,2,21,1,16,1,2
1018018,0,9,5,5,10,1,18,1,60,0
1018122,1,2,2,2,3,3,1,2,5,2
1018123,19,48,71,8,7,20,15,41,11,5
1018323,415,8,387,3,7,230,7,143,3,54
1018335,0,2,2,3,0,2,0,2,0,0
1018424,1009,71,2840,385,494,92,110,409,163,394
1018425,60,43,23,55,11,44,6,58,3,13
1018433,1,19,0,12,0,7,0,3,0,3
1018987,17,119,7,64,1,64,22,56,61,14
1018992,2,25,4,18,3,7,3,10,88,2
1018996,4,63,5,41,6,31,4,24,8,14
1019038,9,107,19,23,16,21,27,23,19,22
1019916,1,38,3,24,0,28,2,26,2,7
1019938,9,766,255,9,17,181,5,488,1,89
1019975,2,2,2,3,4,2,1,4,1,1
1020032,1,14,31,14,7,12,10,4,15,3
1020057,5,41,6,46,3,39,7,25,8,13
1020072,0,2,1,2,0,3,0,1,0,0
1020097,12,48,13,34,245,24,30,54,28,17
1020104,6,9,1,7,1,10,3,9,4,4
1020137,0,389,3,211,0,116,0,104,0,28
